piece,key,part,pitch_class,pitch_name,pitch_midi,degree
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,6,F#4,66,
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,9,A4,69,2.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,3,E-4,63,6.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,6,F#4,66,
bwv10.7.mxl,g,Alto,2,D4,62,5.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,9,A4,69,2.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,6,F#4,66,
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,9,A4,69,2.0
bwv10.7.mxl,g,Alto,10,B-4,70,3.0
bwv10.7.mxl,g,Alto,10,B-4,70,3.0
bwv10.7.mxl,g,Alto,10,B-4,70,3.0
bwv10.7.mxl,g,Alto,10,B-4,70,3.0
bwv10.7.mxl,g,Alto,9,A4,69,2.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,9,A4,69,2.0
bwv10.7.mxl,g,Alto,10,B-4,70,3.0
bwv10.7.mxl,g,Alto,0,C5,72,4.0
bwv10.7.mxl,g,Alto,0,C4,60,4.0
bwv10.7.mxl,g,Alto,2,D4,62,5.0
bwv10.7.mxl,g,Alto,2,D4,62,5.0
bwv10.7.mxl,g,Alto,0,C4,60,4.0
bwv10.7.mxl,g,Alto,11,B3,59,
bwv10.7.mxl,g,Alto,2,D4,62,5.0
bwv10.7.mxl,g,Alto,7,G4,67,1.0
bwv10.7.mxl,g,Alto,5,F4,65,7.0
bwv10.7.mxl,g,Alto,3,E-4,63,6.0
bwv10.7.mxl,g,Alto,3,E-4,63,6.0
bwv10.7.mxl,g,Alto,2,D4,62,5.0
bwv10.7.mxl,g,Alto,0,C4,60,4.0
bwv10.7.mxl,g,Alto,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,9,A3,57,2.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,9,A3,57,2.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,9,A3,57,2.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,7,G3,55,1.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,9,A3,57,2.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,5,F3,53,7.0
bwv10.7.mxl,g,Tenor,5,F4,65,7.0
bwv10.7.mxl,g,Tenor,7,G4,67,1.0
bwv10.7.mxl,g,Tenor,5,F4,65,7.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,5,F3,53,7.0
bwv10.7.mxl,g,Tenor,7,G3,55,1.0
bwv10.7.mxl,g,Tenor,9,A3,57,2.0
bwv10.7.mxl,g,Tenor,10,B-3,58,3.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,4,E4,64,
bwv10.7.mxl,g,Tenor,6,F#4,66,
bwv10.7.mxl,g,Tenor,7,G4,67,1.0
bwv10.7.mxl,g,Tenor,5,F4,65,7.0
bwv10.7.mxl,g,Tenor,3,E-4,63,6.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,11,B3,59,
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,2,D4,62,5.0
bwv10.7.mxl,g,Tenor,7,G3,55,1.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,0,C4,60,4.0
bwv10.7.mxl,g,Tenor,11,B3,59,
bwv10.7.mxl,g,Tenor,9,A3,57,2.0
bwv10.7.mxl,g,Tenor,11,B3,59,
bwv10.7.mxl,g,Bass,7,G3,55,1.0
bwv10.7.mxl,g,Bass,9,A3,57,2.0
bwv10.7.mxl,g,Bass,10,B-3,58,3.0
bwv10.7.mxl,g,Bass,9,A3,57,2.0
bwv10.7.mxl,g,Bass,7,G3,55,1.0
bwv10.7.mxl,g,Bass,6,F#3,54,
bwv10.7.mxl,g,Bass,7,G3,55,1.0
bwv10.7.mxl,g,Bass,9,A3,57,2.0
bwv10.7.mxl,g,Bass,10,B-3,58,3.0
bwv10.7.mxl,g,Bass,7,G3,55,1.0
bwv10.7.mxl,g,Bass,3,E-3,51,6.0
bwv10.7.mxl,g,Bass,0,C3,48,4.0
bwv10.7.mxl,g,Bass,5,F3,53,7.0
bwv10.7.mxl,g,Bass,10,B-2,46,3.0
bwv10.7.mxl,g,Bass,10,B-3,58,3.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,5,F3,53,7.0
bwv10.7.mxl,g,Bass,9,A3,57,2.0
bwv10.7.mxl,g,Bass,0,C4,60,4.0
bwv10.7.mxl,g,Bass,3,E-3,51,6.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,0,C3,48,4.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,7,G2,43,1.0
bwv10.7.mxl,g,Bass,7,G3,55,1.0
bwv10.7.mxl,g,Bass,5,F3,53,7.0
bwv10.7.mxl,g,Bass,10,B-3,58,3.0
bwv10.7.mxl,g,Bass,0,C4,60,4.0
bwv10.7.mxl,g,Bass,2,D4,62,5.0
bwv10.7.mxl,g,Bass,2,D4,62,5.0
bwv10.7.mxl,g,Bass,0,C4,60,4.0
bwv10.7.mxl,g,Bass,10,B-3,58,3.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,3,E-3,51,6.0
bwv10.7.mxl,g,Bass,0,C3,48,4.0
bwv10.7.mxl,g,Bass,5,F3,53,7.0
bwv10.7.mxl,g,Bass,10,B-2,46,3.0
bwv10.7.mxl,g,Bass,10,B-2,46,3.0
bwv10.7.mxl,g,Bass,0,C3,48,4.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,3,E-3,51,6.0
bwv10.7.mxl,g,Bass,5,F3,53,7.0
bwv10.7.mxl,g,Bass,7,G3,55,1.0
bwv10.7.mxl,g,Bass,9,A3,57,2.0
bwv10.7.mxl,g,Bass,10,B-3,58,3.0
bwv10.7.mxl,g,Bass,0,C4,60,4.0
bwv10.7.mxl,g,Bass,10,B-2,46,3.0
bwv10.7.mxl,g,Bass,0,C3,48,4.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,3,E-3,51,6.0
bwv10.7.mxl,g,Bass,5,F3,53,7.0
bwv10.7.mxl,g,Bass,3,E-3,51,6.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,0,C3,48,4.0
bwv10.7.mxl,g,Bass,2,D3,50,5.0
bwv10.7.mxl,g,Bass,3,E-3,51,6.0
bwv10.7.mxl,g,Bass,5,F3,53,7.0
bwv10.7.mxl,g,Bass,7,G3,55,1.0
bwv10.7.mxl,g,Bass,7,G2,43,1.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,5,F4,65,3.0
bwv101.7.mxl,d,Soprano,7,G4,67,4.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,5,F4,65,3.0
bwv101.7.mxl,d,Soprano,4,E4,64,2.0
bwv101.7.mxl,d,Soprano,2,D4,62,1.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,7,G4,67,4.0
bwv101.7.mxl,d,Soprano,0,C5,72,7.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,5,F4,65,3.0
bwv101.7.mxl,d,Soprano,7,G4,67,4.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,0,C5,72,7.0
bwv101.7.mxl,d,Soprano,2,D5,74,1.0
bwv101.7.mxl,d,Soprano,4,E5,76,2.0
bwv101.7.mxl,d,Soprano,5,F5,77,3.0
bwv101.7.mxl,d,Soprano,4,E5,76,2.0
bwv101.7.mxl,d,Soprano,2,D5,74,1.0
bwv101.7.mxl,d,Soprano,1,C#5,73,
bwv101.7.mxl,d,Soprano,2,D5,74,1.0
bwv101.7.mxl,d,Soprano,2,D5,74,1.0
bwv101.7.mxl,d,Soprano,4,E5,76,2.0
bwv101.7.mxl,d,Soprano,2,D5,74,1.0
bwv101.7.mxl,d,Soprano,0,C5,72,7.0
bwv101.7.mxl,d,Soprano,11,B4,71,
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,11,B4,71,
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,2,D5,74,1.0
bwv101.7.mxl,d,Soprano,0,C5,72,7.0
bwv101.7.mxl,d,Soprano,11,B4,71,
bwv101.7.mxl,d,Soprano,0,C5,72,7.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,7,G4,67,4.0
bwv101.7.mxl,d,Soprano,5,F4,65,3.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,10,B-4,70,6.0
bwv101.7.mxl,d,Soprano,9,A4,69,5.0
bwv101.7.mxl,d,Soprano,7,G4,67,4.0
bwv101.7.mxl,d,Soprano,5,F4,65,3.0
bwv101.7.mxl,d,Soprano,7,G4,67,4.0
bwv101.7.mxl,d,Soprano,5,F4,65,3.0
bwv101.7.mxl,d,Soprano,4,E4,64,2.0
bwv101.7.mxl,d,Soprano,2,D4,62,1.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,1,C#4,61,
bwv101.7.mxl,d,Alto,9,A3,57,5.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,7,G4,67,4.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,1,C#4,61,
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,7,G4,67,4.0
bwv101.7.mxl,d,Alto,9,A4,69,5.0
bwv101.7.mxl,d,Alto,7,G4,67,4.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,7,G4,67,4.0
bwv101.7.mxl,d,Alto,9,A4,69,5.0
bwv101.7.mxl,d,Alto,9,A4,69,5.0
bwv101.7.mxl,d,Alto,7,G4,67,4.0
bwv101.7.mxl,d,Alto,7,G4,67,4.0
bwv101.7.mxl,d,Alto,6,F#4,66,
bwv101.7.mxl,d,Alto,8,G#4,68,
bwv101.7.mxl,d,Alto,9,A4,69,5.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,9,A4,69,5.0
bwv101.7.mxl,d,Alto,9,A4,69,5.0
bwv101.7.mxl,d,Alto,8,G#4,68,
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,7,G4,67,4.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,5,F4,65,3.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,0,C4,60,7.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,1,C#4,61,
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,4,E4,64,2.0
bwv101.7.mxl,d,Alto,1,C#4,61,
bwv101.7.mxl,d,Alto,2,D4,62,1.0
bwv101.7.mxl,d,Alto,1,C#4,61,
bwv101.7.mxl,d,Alto,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,10,B-3,58,6.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,10,B-3,58,6.0
bwv101.7.mxl,d,Tenor,4,E3,52,2.0
bwv101.7.mxl,d,Tenor,5,F3,53,3.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,10,B-3,58,6.0
bwv101.7.mxl,d,Tenor,2,D3,50,1.0
bwv101.7.mxl,d,Tenor,4,E3,52,2.0
bwv101.7.mxl,d,Tenor,5,F3,53,3.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,10,B-3,58,6.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,10,B-3,58,6.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,4,E4,64,2.0
bwv101.7.mxl,d,Tenor,5,F4,65,3.0
bwv101.7.mxl,d,Tenor,11,B3,59,
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,11,B3,59,
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,7,G3,55,4.0
bwv101.7.mxl,d,Tenor,7,G3,55,4.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,0,C4,60,7.0
bwv101.7.mxl,d,Tenor,2,D4,62,1.0
bwv101.7.mxl,d,Tenor,7,G3,55,4.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,7,G3,55,4.0
bwv101.7.mxl,d,Tenor,5,F3,53,3.0
bwv101.7.mxl,d,Tenor,4,E3,52,2.0
bwv101.7.mxl,d,Tenor,10,B-3,58,6.0
bwv101.7.mxl,d,Tenor,10,B-3,58,6.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,7,G3,55,4.0
bwv101.7.mxl,d,Tenor,9,A3,57,5.0
bwv101.7.mxl,d,Tenor,6,F#3,54,
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,1,C#3,49,
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,10,B-3,58,6.0
bwv101.7.mxl,d,Bass,5,F3,53,3.0
bwv101.7.mxl,d,Bass,7,G3,55,4.0
bwv101.7.mxl,d,Bass,9,A3,57,5.0
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,4,E3,52,2.0
bwv101.7.mxl,d,Bass,5,F3,53,3.0
bwv101.7.mxl,d,Bass,4,E3,52,2.0
bwv101.7.mxl,d,Bass,9,A3,57,5.0
bwv101.7.mxl,d,Bass,5,F3,53,3.0
bwv101.7.mxl,d,Bass,10,B-3,58,6.0
bwv101.7.mxl,d,Bass,10,B-2,46,6.0
bwv101.7.mxl,d,Bass,9,A2,45,5.0
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,9,A3,57,5.0
bwv101.7.mxl,d,Bass,7,G3,55,4.0
bwv101.7.mxl,d,Bass,5,F3,53,3.0
bwv101.7.mxl,d,Bass,7,G3,55,4.0
bwv101.7.mxl,d,Bass,9,A3,57,5.0
bwv101.7.mxl,d,Bass,10,B-3,58,6.0
bwv101.7.mxl,d,Bass,9,A3,57,5.0
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,7,G3,55,4.0
bwv101.7.mxl,d,Bass,0,C3,48,7.0
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,4,E3,52,2.0
bwv101.7.mxl,d,Bass,6,F#3,54,
bwv101.7.mxl,d,Bass,8,G#3,56,
bwv101.7.mxl,d,Bass,9,A3,57,5.0
bwv101.7.mxl,d,Bass,4,E3,52,2.0
bwv101.7.mxl,d,Bass,9,A2,45,5.0
bwv101.7.mxl,d,Bass,11,B2,47,
bwv101.7.mxl,d,Bass,0,C3,48,7.0
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv101.7.mxl,d,Bass,4,E3,52,2.0
bwv101.7.mxl,d,Bass,5,F3,53,3.0
bwv101.7.mxl,d,Bass,10,B-2,46,6.0
bwv101.7.mxl,d,Bass,0,C3,48,7.0
bwv101.7.mxl,d,Bass,5,F2,41,3.0
bwv101.7.mxl,d,Bass,6,F#2,42,
bwv101.7.mxl,d,Bass,7,G2,43,4.0
bwv101.7.mxl,d,Bass,9,A2,45,5.0
bwv101.7.mxl,d,Bass,10,B-2,46,6.0
bwv101.7.mxl,d,Bass,9,A2,45,5.0
bwv101.7.mxl,d,Bass,7,G2,43,4.0
bwv101.7.mxl,d,Bass,9,A2,45,5.0
bwv101.7.mxl,d,Bass,9,A2,45,5.0
bwv101.7.mxl,d,Bass,2,D3,50,1.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,3,E-4,63,3.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,3,E-4,63,3.0
bwv102.7.mxl,c,Soprano,2,D4,62,2.0
bwv102.7.mxl,c,Soprano,0,C4,60,1.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,10,B-4,70,7.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,3,E-4,63,3.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,9,A4,69,
bwv102.7.mxl,c,Soprano,10,B-4,70,7.0
bwv102.7.mxl,c,Soprano,0,C5,72,1.0
bwv102.7.mxl,c,Soprano,2,D5,74,2.0
bwv102.7.mxl,c,Soprano,3,E-5,75,3.0
bwv102.7.mxl,c,Soprano,2,D5,74,2.0
bwv102.7.mxl,c,Soprano,0,C5,72,1.0
bwv102.7.mxl,c,Soprano,11,B4,71,
bwv102.7.mxl,c,Soprano,0,C5,72,1.0
bwv102.7.mxl,c,Soprano,0,C5,72,1.0
bwv102.7.mxl,c,Soprano,2,D5,74,2.0
bwv102.7.mxl,c,Soprano,0,C5,72,1.0
bwv102.7.mxl,c,Soprano,10,B-4,70,7.0
bwv102.7.mxl,c,Soprano,9,A4,69,
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,9,A4,69,
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,0,C5,72,1.0
bwv102.7.mxl,c,Soprano,10,B-4,70,7.0
bwv102.7.mxl,c,Soprano,9,A4,69,
bwv102.7.mxl,c,Soprano,10,B-4,70,7.0
bwv102.7.mxl,c,Soprano,8,A-4,68,6.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,3,E-4,63,3.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,8,A-4,68,6.0
bwv102.7.mxl,c,Soprano,7,G4,67,5.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,3,E-4,63,3.0
bwv102.7.mxl,c,Soprano,5,F4,65,4.0
bwv102.7.mxl,c,Soprano,3,E-4,63,3.0
bwv102.7.mxl,c,Soprano,2,D4,62,2.0
bwv102.7.mxl,c,Soprano,0,C4,60,1.0
bwv102.7.mxl,c,Alto,3,E-4,63,3.0
bwv102.7.mxl,c,Alto,2,D4,62,2.0
bwv102.7.mxl,c,Alto,0,C4,60,1.0
bwv102.7.mxl,c,Alto,0,C4,60,1.0
bwv102.7.mxl,c,Alto,2,D4,62,2.0
bwv102.7.mxl,c,Alto,3,E-4,63,3.0
bwv102.7.mxl,c,Alto,2,D4,62,2.0
bwv102.7.mxl,c,Alto,0,C4,60,1.0
bwv102.7.mxl,c,Alto,11,B3,59,
bwv102.7.mxl,c,Alto,7,G3,55,5.0
bwv102.7.mxl,c,Alto,3,E-4,63,3.0
bwv102.7.mxl,c,Alto,3,E-4,63,3.0
bwv102.7.mxl,c,Alto,2,D4,62,2.0
bwv102.7.mxl,c,Alto,3,E-4,63,3.0
bwv102.7.mxl,c,Alto,5,F4,65,4.0
